|18_12_2022|19_10_3|done action: справочник запущен
|18_12_2022|19_10_6|done action: просмотреть все записи в справочнике
|18_12_2022|19_10_12|done action: просмотреть все записи в справочнике
|18_12_2022|19_10_16|done action: добавить запись в справочник
|18_12_2022|19_10_57|done action: просмотреть все записи в справочнике
|18_12_2022|19_11_2|done action: добавить запись в справочник
|18_12_2022|19_11_22|done action: меню удаление запис(-и)(-ей) из справочника
|18_12_2022|19_11_29|done action: вернуться в основное меню
|18_12_2022|19_11_31|done action: меню удаление запис(-и)(-ей) из справочника
|18_12_2022|19_11_34|done action: удалить повторяющиеся записи
|18_12_2022|19_11_39|done action: меню удаление запис(-и)(-ей) из справочника
|18_12_2022|19_12_3|done action: удалить запис(-и)(-ь) из справочника
|18_12_2022|19_12_10|done action: удалить записи по их порядковому номеру
|18_12_2022|19_12_15|done action: [11]
|18_12_2022|19_12_19|done action: просмотреть все записи в справочнике
|18_12_2022|19_12_27|done action: меню удаление запис(-и)(-ей) из справочника
|18_12_2022|19_12_37|done action: удалить запис(-и)(-ь) из справочника
|18_12_2022|19_12_51|done action: удалить записи по Ф.И.О.
|18_12_2022|19_12_58|done action: [['Иван', 'Иван', 'Иван', '007']]
|18_12_2022|19_13_6|done action: удалить
|18_12_2022|19_13_22|done action: найти запись в справочнике
|18_12_2022|19_14_12|done action: сортировать записи
|18_12_2022|19_14_16|done action: номеру телефона
|18_12_2022|19_14_20|done action: убыванию
|18_12_2022|19_14_24|done action: просмотреть все записи в справочнике
|18_12_2022|19_14_46|done action: меню сохранения данных
|18_12_2022|19_16_4|done action: сохранить данные в формате: line
|18_12_2022|19_16_12|done action: меню сохранения данных
|18_12_2022|19_16_19|done action: сохранить данные в формате: column
|18_12_2022|19_16_23|done action: меню сохранения данных
|18_12_2022|19_16_27|done action: вернуться в основное меню
|18_12_2022|19_16_29|done action: меню сохранения данных
|18_12_2022|19_16_32|done action: сохранить данные в формате: line
|18_12_2022|19_16_48|done action: загрузить данные (данные загруженные или добавленные ранее во время сессии будут утеряны)
|18_12_2022|19_17_0|done action: меню сохранения данных
|18_12_2022|19_17_2|done action: вернуться в основное меню
|18_12_2022|19_17_6|done action: загрузить данные (данные загруженные или добавленные ранее во время сессии будут утеряны)
|18_12_2022|19_17_10|done action: меню выхода из справочника
|18_12_2022|19_18_20|done action: вернуться в основное меню
|18_12_2022|19_18_24|done action: меню выхода из справочника
|18_12_2022|19_18_32|done action: выйти из справочника без сохранения изминений и удаления повторов в телефонной книге
|18_12_2022|19_18_35|done action: справочник запущен
|18_12_2022|19_18_39|done action: меню выхода из справочника
|18_12_2022|19_18_42|done action: вернуться в основное меню
|18_12_2022|19_18_45|done action: меню выхода из справочника
|18_12_2022|19_18_50|done action: выйти из справочника с сохранением изминений в телефонной книге
|18_12_2022|19_19_1|done action: справочник запущен
|18_12_2022|19_19_4|done action: меню выхода из справочника
|18_12_2022|19_19_8|done action: выйти из справочника с сохранением изминений в телефонной книге
|18_12_2022|19_19_19|done action: справочник запущен
|18_12_2022|19_19_23|done action: меню сохранения данных
|18_12_2022|19_19_28|done action: вернуться в основное меню
|18_12_2022|19_19_51|done action: меню сохранения данных
|18_12_2022|19_20_24|done action: сохранить данные в формате: column
|18_12_2022|19_20_27|done action: меню сохранения данных
|18_12_2022|19_20_38|done action: вернуться в основное меню
|18_12_2022|19_20_48|done action: меню сохранения данных
|18_12_2022|19_20_51|done action: сохранить данные в формате: line
|18_12_2022|19_20_53|done action: меню выхода из справочника
|18_12_2022|19_20_56|done action: выйти из справочника без сохранения изминений и удаления повторов в телефонной книге
|18_12_2022|19_44_29|done action: справочник запущен
|18_12_2022|19_44_46|done action: просмотреть все записи в справочнике
|18_12_2022|19_44_49|done action: добавить запись в справочник
|18_12_2022|19_44_59|done action: просмотреть все записи в справочнике
|18_12_2022|19_45_3|done action: меню удаление запис(-и)(-ей) из справочника
|18_12_2022|19_45_8|done action: удалить запис(-и)(-ь) из справочника
|18_12_2022|19_45_17|done action: удалить записи по Ф.И.О.
|18_12_2022|19_45_22|done action: [['', '', '', '45']]
|18_12_2022|19_45_25|done action: удалить
|18_12_2022|19_45_40|done action: сортировать записи
|18_12_2022|19_45_43|done action: фамилии
|18_12_2022|19_45_44|done action: убыванию
|18_12_2022|19_45_48|done action: меню выхода из справочника
|18_12_2022|19_45_51|done action: выйти из справочника без сохранения изминений и удаления повторов в телефонной книге
|18_12_2022|19_50_36|done action: справочник запущен
|18_12_2022|19_50_39|done action: меню выхода из справочника
|18_12_2022|19_50_43|done action: выйти из справочника с сохранением изминений в телефонной книге
|18_12_2022|19_50_54|done action: справочник запущен
|18_12_2022|19_50_57|done action: меню выхода из справочника
|18_12_2022|19_51_5|done action: вернуться в основное меню
|18_12_2022|19_51_7|done action: меню выхода из справочника
|18_12_2022|19_51_11|done action: выйти из справочника с сохранением изминений в телефонной книге
